#id, pixel, line, longitue, latitude
1, 17620, 4234, -119.73, 36.81
2, 17582, 4270, -120.11, 36.34
3, 17324, 4224, -121.79, 36.88
4, 17329, 4217, -121.73, 36.97
5, 17728, 4336, -119.28, 35.53
6, 17274, 4096, -121.78, 38.54
7, 17496, 4229, -120.59, 36.85
8, 17174, 3983, -122.16, 40.05
9, 17794, 4360, -118.89, 35.24
10, 17773, 4373, -119.08, 35.08
11, 17755, 4366, -119.18, 35.16
12, 17235, 4016, -121.82, 39.61
13, 17413, 4083, -120.73, 38.75
14, 17183, 4006, -122.17, 39.74
15, 17625, 4285, -119.85, 36.16
16, 17336, 4222, -121.7, 36.91
17, 18381, 4566, -115.45, 32.85
18, 18349, 4546, -115.61, 33.08
19, 17330, 4232, -121.77, 36.77
20, 17669, 4295, -119.57, 36.04
21, 17629, 4307, -119.89, 35.87
22, 17624, 4259, -119.78, 36.49
23, 17442, 4281, -121.12, 36.17
24, 18255, 4499, -116.11, 33.63
25, 18205, 4487, -116.42, 33.76
26, 17670, 4337, -119.69, 35.51
27, 17248, 4076, -121.91, 38.81
28, 17399, 4258, -121.36, 36.45
29, 17547, 4255, -120.31, 36.52
30, 17296, 4072, -121.55, 38.87
31, 17741, 4323, -119.15, 35.7
32, 17219, 4044, -122.02, 39.23
33, 17710, 4275, -119.22, 36.3
34, 18102, 4508, -117.2, 33.49
35, 17787, 4194, -118.4, 37.36
36, 18475, 4501, -114.56, 33.66
37, 17366, 4245, -121.55, 36.62
38, 17588, 4380, -120.38, 34.95
39, 17660, 4251, -119.5, 36.6
40, 17530, 4242, -120.39, 36.68
41, 18378, 4550, -115.42, 33.04
42, 17348, 4130, -121.35, 38.11
43, 17238, 3911, -121.45, 41.07
44, 18064, 4468, -117.34, 33.97
45, 18137, 4566, -117.14, 32.79
46, 17133, 3859, -122.06, 41.79
47, 17310, 4143, -121.66, 37.93
48, 17209, 3846, -121.43, 42.0
49, 18093, 4526, -117.32, 33.26
50, 18235, 4497, -116.24, 33.65
51, 17118, 4085, -122.87, 38.66
52, 17536, 4351, -120.66, 35.31
53, 17416, 4267, -121.26, 36.34
54, 17626, 4325, -119.96, 35.65
55, 18212, 4490, -116.38, 33.73
